Timestamp,Close,PortfolioValue,TradeDirection,PositionSize
2024-02-13 22:00:00,77.85,100000,1,1253.67
2024-02-13 22:30:00,77.85,100000,,
2024-02-13 23:00:00,77.85,100000,,
2024-02-13 23:30:00,77.86,100013,,
2024-02-14 00:00:00,77.85,100000,,
2024-02-14 00:30:00,77.81,99949.9,,
2024-02-14 01:00:00,77.8,99937.3,,
2024-02-14 01:30:00,77.72,99837,1,1253.67
2024-02-14 02:00:00,77.98,99837,1,1229.71
2024-02-14 02:30:00,77.95,99800.1,,
2024-02-14 03:00:00,78.05,99923.1,,
2024-02-14 03:30:00,77.79,99603.4,1,1229.71
2024-02-14 04:00:00,77.81,99603.4,,
2024-02-14 04:30:00,77.86,99603.4,1,1419.68
2024-02-14 05:00:00,78,99802.1,,
2024-02-14 05:30:00,78.06,99887.3,,
2024-02-14 06:00:00,77.91,99674.4,,
2024-02-14 06:30:00,77.87,99617.6,,
2024-02-14 07:00:00,78.05,99873.1,,
2024-02-14 07:30:00,77.97,99759.5,,
2024-02-14 08:00:00,78.18,100058,,
2024-02-14 08:30:00,78.2,100086,,
2024-02-14 09:00:00,78.27,100185,,
2024-02-14 09:30:00,78.58,100626,,
2024-02-14 10:00:00,78.19,100072,,
2024-02-14 10:30:00,77.87,99617.6,1,1419.68
2024-02-14 11:00:00,77.4,99617.6,,
2024-02-14 11:30:00,77.53,99617.6,,
2024-02-14 12:00:00,77.08,99617.6,,
2024-02-14 12:30:00,76.9,99617.6,-1,1161.02
2024-02-14 13:00:00,76.89,99629.2,,
2024-02-14 13:30:00,77.06,99431.8,,
2024-02-14 14:00:00,76.65,99907.8,,
2024-02-14 14:30:00,76.53,100047,-1,1161.02
2024-02-14 15:00:00,76.49,100047,,
2024-02-14 15:30:00,76.62,100047,,
2024-02-14 16:00:00,76.59,100047,,
2024-02-14 16:30:00,76.56,100047,,
2024-02-14 18:00:00,76.52,100047,,
2024-02-14 18:30:00,76.53,100047,,
2024-02-14 19:00:00,76.45,100047,,
2024-02-14 19:30:00,76.44,100047,,
2024-02-14 20:00:00,76.31,100047,,
2024-02-14 20:30:00,76.27,100047,,
2024-02-14 21:00:00,76.28,100047,,
2024-02-14 21:30:00,76.35,100047,,
2024-02-14 22:00:00,76.25,100047,,
2024-02-14 22:30:00,76.2,100047,,
2024-02-14 23:00:00,76.22,100047,,
2024-02-14 23:30:00,76.18,100047,,
2024-02-15 00:00:00,76.3,100047,-1,1045.87
2024-02-15 00:30:00,76.26,100089,,
2024-02-15 01:00:00,76.3,100047,,
2024-02-15 01:30:00,76.37,99973.9,-1,1045.87
2024-02-15 02:00:00,76.4,99973.9,,
2024-02-15 02:30:00,76.15,99973.9,,
2024-02-15 03:00:00,75.99,99973.9,,
2024-02-15 03:30:00,76.47,99973.9,,
2024-02-15 04:00:00,76.65,99973.9,,
2024-02-15 04:30:00,76.18,99973.9,-1,1154.27
2024-02-15 05:00:00,76.2,99950.9,,
2024-02-15 05:30:00,76.04,100136,,
2024-02-15 06:00:00,75.79,100424,,
2024-02-15 06:30:00,76.08,100089,,
2024-02-15 07:00:00,76.05,100124,,
2024-02-15 07:30:00,76.31,99823.9,-1,1154.27
2024-02-15 08:00:00,76.48,99823.9,,
2024-02-15 08:30:00,76.68,99823.9,,
2024-02-15 09:00:00,76.87,99823.9,,
2024-02-15 09:30:00,77.03,99823.9,,
2024-02-15 10:00:00,77.54,99823.9,,
2024-02-15 10:30:00,77.74,99823.9,,
2024-02-15 11:00:00,77.78,99823.9,,
2024-02-15 11:30:00,78.36,99823.9,,
2024-02-15 12:00:00,78.24,99823.9,,
2024-02-15 12:30:00,78.13,99823.9,1,1135.83
2024-02-15 13:00:00,78.07,99755.7,,
2024-02-15 13:30:00,78.05,99733,,
2024-02-15 14:00:00,78.03,99710.3,,
2024-02-15 14:30:00,78.3,100017,,
2024-02-15 15:00:00,78.28,99994.3,,
2024-02-15 15:30:00,78.16,99858,,
2024-02-15 16:00:00,78.18,99880.7,,
2024-02-15 16:30:00,78.07,99755.7,,
2024-02-15 18:00:00,78.12,99812.5,,
2024-02-15 18:30:00,78.14,99835.2,,
2024-02-15 19:00:00,78.07,99755.7,,
2024-02-15 19:30:00,78.07,99755.7,,
2024-02-15 20:00:00,78.06,99744.4,,
2024-02-15 20:30:00,78.06,99744.4,,
2024-02-15 21:00:00,78.05,99733,1,1135.83
2024-02-15 21:30:00,78.18,99733,1,1349.18
2024-02-15 22:00:00,78.07,99584.6,1,1349.18
2024-02-15 22:30:00,78.02,99584.6,,
2024-02-15 23:00:00,78.05,99584.6,,
2024-02-15 23:30:00,78.07,99584.6,,
2024-02-16 00:00:00,78.05,99584.6,,
2024-02-16 00:30:00,78.14,99584.6,1,1420.14
2024-02-16 01:00:00,78.09,99513.6,1,1420.14
2024-02-16 01:30:00,78.09,99513.6,,
2024-02-16 02:00:00,78.01,99513.6,,
2024-02-16 02:30:00,78.03,99513.6,,
2024-02-16 03:00:00,78.03,99513.6,,
2024-02-16 03:30:00,77.69,99513.6,,
2024-02-16 04:00:00,77.63,99513.6,,
2024-02-16 04:30:00,77.34,99513.6,,
2024-02-16 05:00:00,77.32,99513.6,,
2024-02-16 05:30:00,77.37,99513.6,,
2024-02-16 06:00:00,77.36,99513.6,,
2024-02-16 06:30:00,77.43,99513.6,,
2024-02-16 07:00:00,77.54,99513.6,,
2024-02-16 07:30:00,77.52,99513.6,,
2024-02-16 08:00:00,77.9,99513.6,1,1617.61
2024-02-16 08:30:00,78.44,100387,,
2024-02-16 09:00:00,78.45,100403,,
2024-02-16 09:30:00,78.06,99772.4,,
2024-02-16 10:00:00,77.99,99659.2,,
2024-02-16 10:30:00,78.22,100031,,
2024-02-16 11:00:00,78.41,100339,,
2024-02-16 11:30:00,78.71,100824,,
2024-02-16 12:00:00,78.98,101261,,
2024-02-16 12:30:00,78.72,100840,,
2024-02-16 13:00:00,78.8,100969,,
2024-02-16 13:30:00,79.02,101325,,
2024-02-16 14:00:00,79.2,101616,,
2024-02-16 14:30:00,79.2,101616,,
2024-02-16 15:00:00,79.2,101616,,
2024-02-16 15:30:00,79.12,101487,,
2024-02-16 16:00:00,79.27,101730,,
2024-02-16 16:30:00,79.22,101649,,
2024-02-18 18:00:00,79.05,101374,,
2024-02-18 18:30:00,79.03,101341,,
2024-02-18 19:00:00,79.09,101439,,
2024-02-18 19:30:00,78.97,101244,,
2024-02-18 20:00:00,78.84,101034,1,1617.61
2024-02-18 20:30:00,78.79,101034,,
2024-02-18 21:00:00,78.73,101034,,
2024-02-18 22:30:00,78.78,101034,,
2024-02-18 23:30:00,78.7,101034,,
2024-02-19 00:30:00,78.72,101034,,
2024-02-19 01:00:00,78.75,101034,,
2024-02-19 01:30:00,78.68,101034,,
2024-02-19 02:00:00,78.88,101034,,
2024-02-19 02:30:00,78.82,101034,,
2024-02-19 03:00:00,78.75,101034,,
2024-02-19 03:30:00,78.66,101034,,
2024-02-19 04:00:00,78.72,101034,,
2024-02-19 04:30:00,78.9,101034,1,1381.71
2024-02-19 05:00:00,78.86,100979,1,1381.71
2024-02-19 05:30:00,78.94,100979,1,1374.08
2024-02-19 06:00:00,78.79,100773,1,1374.08
2024-02-19 06:30:00,79.04,100773,1,1322.8
2024-02-19 07:00:00,79.15,100918,,
2024-02-19 07:30:00,79.24,101037,,
2024-02-19 08:00:00,79.3,101117,,
2024-02-19 08:30:00,79.24,101037,,
2024-02-19 09:00:00,79.35,101183,,
2024-02-19 09:30:00,79.51,101394,,
2024-02-19 10:00:00,79.61,101527,,
2024-02-19 10:30:00,79.71,101659,,
2024-02-19 11:00:00,79.66,101593,,
2024-02-19 11:30:00,79.55,101447,,
2024-02-19 12:00:00,79.43,101289,,
2024-02-19 12:30:00,79.61,101527,,
2024-02-19 13:30:00,79.4,101249,,
2024-02-19 14:00:00,79.29,101103,1,1322.8
2024-02-19 18:30:00,79.13,101103,,
2024-02-19 19:30:00,79.26,101103,,
2024-02-19 20:00:00,79.45,101103,1,1119.85
2024-02-19 21:30:00,79.5,101159,,
2024-02-19 23:00:00,79.49,101148,,
2024-02-20 01:30:00,79.46,101115,,
2024-02-20 02:00:00,79.43,101081,,
2024-02-20 03:00:00,79.57,101238,,
2024-02-20 03:30:00,79.28,100913,1,1119.85
2024-02-20 04:00:00,79.15,100913,,
2024-02-20 04:30:00,78.93,100913,,
2024-02-20 05:00:00,78.91,100913,,
2024-02-20 05:30:00,79.09,100913,,
2024-02-20 06:00:00,78.88,100913,,
2024-02-20 06:30:00,78.83,100913,,
2024-02-20 07:30:00,78.8,100913,,
2024-02-20 08:00:00,79.15,100913,,
2024-02-20 08:30:00,79.2,100913,1,1556.89
2024-02-20 09:00:00,79.77,101801,,
2024-02-20 09:30:00,79.58,101505,,
2024-02-20 10:00:00,78.9,100446,1,1556.89
2024-02-20 10:30:00,78.48,100446,,
2024-02-20 11:00:00,78.59,100446,,
2024-02-20 11:30:00,78.86,100446,-1,1792.98
2024-02-20 12:00:00,79.15,99926.1,-1,1792.98
2024-02-20 12:30:00,79.17,99926.1,,
2024-02-20 13:00:00,79.46,99926.1,1,1363.57
2024-02-20 13:30:00,79.23,99612.4,,
2024-02-20 14:00:00,78.27,98303.4,1,1363.57
2024-02-21 03:30:00,76.38,98303.4,,
2024-02-21 04:00:00,76.58,98303.4,,
2024-02-21 04:30:00,76.67,98303.4,,
2024-02-21 05:00:00,76.69,98303.4,,
2024-02-21 05:30:00,76.66,98303.4,,
2024-02-21 06:00:00,76.55,98303.4,,
2024-02-21 06:30:00,76.63,98303.4,,
2024-02-21 07:00:00,76.65,98303.4,,
2024-02-21 07:30:00,76.87,98303.4,,
2024-02-21 08:00:00,76.81,98303.4,,
2024-02-21 08:30:00,76.89,98303.4,,
2024-02-21 09:00:00,77.01,98303.4,-1,1053.48
2024-02-21 09:30:00,77.26,98040,,
2024-02-21 10:00:00,77.31,97987.4,,
2024-02-21 10:30:00,77.51,97776.7,-1,1053.48
