EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,Size,Profit,HoldingPeriod
2024-02-13 22:00:00,2024-02-14 01:30:00,1,77.85,77.72,1253.67,-162.977,7
2024-02-14 02:00:00,2024-02-14 03:30:00,1,77.98,77.79,1229.71,-233.645,3
2024-02-14 04:30:00,2024-02-14 10:30:00,1,77.86,77.87,1419.68,14.1968,12
2024-02-14 12:30:00,2024-02-14 14:30:00,-1,76.9,76.53,1161.02,429.576,4
2024-02-15 00:00:00,2024-02-15 01:30:00,-1,76.3,76.37,1045.87,-73.2107,3
2024-02-15 04:30:00,2024-02-15 07:30:00,-1,76.18,76.31,1154.27,-150.056,6
2024-02-15 12:30:00,2024-02-15 21:00:00,1,78.13,78.05,1135.83,-90.8668,15
2024-02-15 21:30:00,2024-02-15 22:00:00,1,78.18,78.07,1349.18,-148.41,1
2024-02-16 00:30:00,2024-02-16 01:00:00,1,78.14,78.09,1420.14,-71.0069,1
2024-02-16 08:00:00,2024-02-18 20:00:00,1,77.9,78.84,1617.61,1520.55,22
2024-02-19 04:30:00,2024-02-19 05:00:00,1,78.9,78.86,1381.71,-55.2684,1
2024-02-19 05:30:00,2024-02-19 06:00:00,1,78.94,78.79,1374.08,-206.112,1
2024-02-19 06:30:00,2024-02-19 14:00:00,1,79.04,79.29,1322.8,330.701,14
2024-02-19 20:00:00,2024-02-20 03:30:00,1,79.45,79.28,1119.85,-190.375,6
2024-02-20 08:30:00,2024-02-20 10:00:00,1,79.2,78.9,1556.89,-467.066,3
2024-02-20 11:30:00,2024-02-20 12:00:00,-1,78.86,79.15,1792.98,-519.965,1
2024-02-20 13:00:00,2024-02-20 14:00:00,1,79.46,78.27,1363.57,-1622.65,2
2024-02-21 09:00:00,2024-02-21 10:30:00,-1,77.01,77.51,1053.48,-526.74,3
2024-02-21 22:00:00,2024-02-21 22:30:00,1,78.1,78.07,1705.06,-51.1519,1
2024-02-22 00:30:00,2024-02-22 03:30:00,1,78.16,78.11,1757.36,-87.8682,6
2024-02-22 04:30:00,2024-02-22 05:30:00,1,78.25,78.07,1798.98,-323.816,2
2024-02-22 09:30:00,2024-02-22 18:00:00,1,77.98,78.27,1683.27,488.147,15
2024-02-22 20:30:00,2024-02-22 21:00:00,1,78.38,78.31,1761.34,-123.294,1
2024-02-23 02:00:00,2024-02-23 11:30:00,-1,78.09,76.8,1651.8,2130.83,19
2024-02-25 23:30:00,2024-02-26 01:30:00,-1,76.16,76.29,1047.02,-136.112,4
2024-02-26 02:30:00,2024-02-26 04:30:00,-1,76.08,76.2,1143.04,-137.164,4
2024-02-26 06:30:00,2024-02-26 08:00:00,-1,76.16,76.33,1322.88,-224.889,3
2024-02-26 11:00:00,2024-02-26 21:00:00,1,77.23,77.5,1681.06,453.885,18
2024-02-26 22:00:00,2024-02-26 22:30:00,1,77.58,77.5,1605.15,-128.412,1
2024-02-27 00:00:00,2024-02-27 03:30:00,1,77.61,77.54,1604.87,-112.341,7
2024-02-27 04:30:00,2024-02-27 05:00:00,1,77.77,77.54,1498.96,-344.761,1
2024-02-27 08:30:00,2024-02-27 22:00:00,1,77.71,78.53,1496.01,1226.72,25
2024-02-27 22:30:00,2024-02-27 23:30:00,1,78.59,78.52,1301.28,-91.0898,2
2024-02-28 08:00:00,2024-02-28 09:00:00,1,78.7,79.31,1200.67,732.409,2
2024-02-28 12:30:00,2024-02-28 13:30:00,1,78.73,78.4,1050.64,-346.712,2
2024-02-28 14:30:00,2024-02-28 18:30:00,-1,78.39,78.14,1632.2,408.05,6
2024-02-28 21:00:00,2024-02-28 21:30:00,1,78.49,78.41,1586.05,-126.884,1
2024-02-29 02:00:00,2024-02-29 04:00:00,-1,78.31,78.32,1763.17,-17.6317,4
2024-02-29 05:00:00,2024-02-29 06:00:00,1,78.64,78.27,1446.19,-535.092,2
2024-02-29 07:00:00,2024-02-29 10:00:00,1,78.75,78.29,1262.24,-580.633,6
2024-02-29 15:30:00,2024-02-29 16:30:00,-1,78.14,78.3,1289,-206.241,2
2024-02-29 18:00:00,2024-02-29 19:00:00,-1,78.25,78.34,1395.62,-125.606,2
2024-02-29 20:00:00,2024-02-29 20:30:00,1,78.44,78.48,1753.88,70.1554,1
2024-02-29 21:00:00,2024-02-29 22:30:00,1,78.47,78.5,1782.69,53.4806,3
2024-03-01 02:00:00,2024-03-01 02:30:00,-1,78.4,78.46,1703.14,-102.189,1
2024-03-01 03:00:00,2024-03-01 04:00:00,-1,78.25,78.88,1483.26,-934.454,2
2024-03-01 15:00:00,2024-03-01 15:30:00,1,79.9,79.78,1046.07,-125.528,1
2024-03-03 18:00:00,2024-03-03 18:30:00,1,80,79.93,1074.98,-75.2485,1
2024-03-03 19:00:00,2024-03-03 21:00:00,1,80.08,80.06,1060.84,-21.2168,4
2024-03-04 02:00:00,2024-03-04 04:30:00,1,80,79.81,1297.88,-246.597,5
2024-03-04 08:30:00,2024-03-04 09:30:00,1,80.07,79.77,1351.18,-405.353,2
2024-03-04 10:00:00,2024-03-05 03:30:00,-1,79.5,78.66,1735,1457.4,33
2024-03-05 06:30:00,2024-03-05 09:00:00,-1,78.48,78.34,1491.81,208.853,5
2024-03-05 10:00:00,2024-03-05 10:30:00,-1,77.87,79.32,926.313,-1343.15,1
2024-03-05 11:30:00,2024-03-05 18:00:00,-1,78.38,78.19,843.242,160.216,11
2024-03-05 19:00:00,2024-03-05 21:00:00,-1,78.17,78.08,1390.49,125.144,4
2024-03-05 21:30:00,2024-03-05 22:00:00,-1,78.25,78.26,1498.15,-14.9815,1
2024-03-06 02:30:00,2024-03-06 09:30:00,1,78.49,79.74,1662.22,2077.77,14
2024-03-06 13:00:00,2024-03-06 13:30:00,1,79.63,79.41,1167.07,-256.755,1
2024-03-07 01:00:00,2024-03-07 02:00:00,1,79.15,79.09,1583.01,-94.9806,2
2024-03-07 03:30:00,2024-03-07 08:30:00,-1,78.71,78.91,1684.52,-336.904,10
2024-03-07 09:00:00,2024-03-07 11:00:00,-1,78.2,78.78,1229.56,-713.144,4
2024-03-07 18:00:00,2024-03-07 19:30:00,1,79.14,79.3,1495.8,239.328,3
