Timestamp,Close,PortfolioValue,TradeDirection,PositionSize
2024-02-14 12:00:00,94.86,100000,,
2024-02-14 12:30:00,94.54,100000,,
2024-02-14 13:00:00,94.27,100000,,
2024-02-14 13:30:00,94.27,100000,,
2024-02-14 14:00:00,94.46,100000,,
2024-02-14 21:00:00,94.02,100000,,
2024-02-14 21:30:00,94.11,100000,,
2024-02-14 22:00:00,94.22,100000,,
2024-02-14 22:30:00,94.45,100000,,
2024-02-14 23:00:00,95.43,100000,,
2024-02-14 23:30:00,95.22,100000,,
2024-02-15 00:00:00,95.91,100000,,
2024-02-15 00:30:00,95.65,100000,,
2024-02-15 01:00:00,95.71,100000,,
2024-02-15 01:30:00,95.48,100000,,
2024-02-15 02:00:00,95.5,100000,,
2024-02-15 02:30:00,95.33,100000,,
2024-02-15 03:00:00,95.08,100000,,
2024-02-15 03:30:00,95.13,100000,,
2024-02-15 04:00:00,95.12,100000,1,1073.08
2024-02-15 04:30:00,95.28,100172,,
2024-02-15 05:00:00,95.49,100397,,
2024-02-15 05:30:00,94.93,99796.1,1,1073.08
2024-02-15 06:00:00,94.77,99796.1,,
2024-02-15 06:30:00,94.6,99796.1,,
2024-02-15 07:00:00,94.71,99796.1,,
2024-02-15 07:30:00,94.6,99796.1,,
2024-02-15 08:00:00,94.62,99796.1,,
2024-02-15 08:30:00,94.44,99796.1,,
2024-02-15 09:00:00,94.99,99796.1,1,1306.51
2024-02-15 09:30:00,95.21,100084,,
2024-02-15 10:00:00,95.21,100084,,
2024-02-15 10:30:00,95.19,100057,,
2024-02-15 11:00:00,94.86,99626.3,1,1306.51
2024-02-15 11:30:00,94.82,99626.3,,
2024-02-15 12:00:00,95.19,99626.3,1,1307.2
2024-02-15 12:30:00,95.04,99430.2,,
2024-02-15 13:00:00,95.17,99600.1,,
2024-02-15 13:30:00,95.23,99678.6,,
2024-02-15 14:00:00,95.38,99874.6,,
2024-02-15 21:00:00,95.4,99900.8,,
2024-02-15 21:30:00,95.32,99796.2,,
2024-02-15 22:00:00,95.57,100123,,
2024-02-15 22:30:00,95.19,99626.3,,
2024-02-15 23:00:00,95.07,99469.4,1,1307.2
2024-02-15 23:30:00,95.09,99469.4,1,1459.21
2024-02-16 00:00:00,95.53,100111,,
2024-02-16 00:30:00,95.29,99761.2,,
2024-02-16 01:00:00,95.13,99527.8,1,1459.21
2024-02-16 01:30:00,95.14,99527.8,,
2024-02-16 02:00:00,95.22,99527.8,,
2024-02-16 02:30:00,95.29,99527.8,1,1434.77
2024-02-16 03:00:00,95.49,99814.7,,
2024-02-16 03:30:00,95.33,99585.2,,
2024-02-16 04:00:00,95.27,99499.1,,
2024-02-16 04:30:00,95.23,99441.7,1,1434.77
2024-02-16 05:00:00,95.35,99441.7,1,1429.71
2024-02-16 05:30:00,95.31,99384.5,,
2024-02-16 06:00:00,95.33,99413.1,,
2024-02-16 06:30:00,95.37,99470.3,,
2024-02-16 07:00:00,95.44,99570.4,1,1429.71
2024-02-16 07:30:00,95.18,99570.4,,
2024-02-16 08:00:00,95.43,99570.4,,
2024-02-16 08:30:00,95.89,99570.4,1,1337.61
2024-02-16 09:00:00,95.69,99302.8,,
2024-02-16 09:30:00,95.14,98567.2,1,1337.61
2024-02-16 10:00:00,95.3,98567.2,,
2024-02-16 10:30:00,95.34,98567.2,,
2024-02-16 11:00:00,95.38,98567.2,1,1520.87
2024-02-16 11:30:00,95.13,98186.9,1,1520.87
2024-02-16 12:00:00,94.54,98186.9,-1,1668.15
2024-02-16 12:30:00,93.79,99438.1,-1,1668.15
2024-02-16 13:00:00,94.19,99438.1,-1,1204.81
2024-02-16 13:30:00,94.26,99353.7,,
2024-02-16 14:00:00,94.42,99160.9,,
2024-02-19 21:00:00,92.03,102040,,
2024-02-19 21:30:00,91.65,102498,-1,1204.81
2024-02-19 22:00:00,92.41,102498,-1,592.482
2024-02-19 22:30:00,92.46,102469,,
2024-02-19 23:00:00,92.43,102486,,
2024-02-19 23:30:00,92.39,102510,,
2024-02-20 00:00:00,92.19,102629,,
2024-02-20 00:30:00,91.97,102759,,
2024-02-20 01:00:00,91.98,102753,,
2024-02-20 01:30:00,91.62,102966,,
2024-02-20 02:00:00,92.06,102706,,
2024-02-20 02:30:00,92.66,102350,,
2024-02-20 03:00:00,92.7,102326,,
2024-02-20 03:30:00,92.48,102457,,
2024-02-20 04:00:00,91.86,102824,,
2024-02-20 04:30:00,91.9,102800,,
2024-02-20 05:00:00,91.87,102818,,
2024-02-20 05:30:00,92.09,102688,,
2024-02-20 06:00:00,92.29,102569,,
2024-02-20 06:30:00,92.28,102575,-1,592.482
2024-02-20 07:00:00,92.42,102575,,
2024-02-20 07:30:00,92.37,102575,,
2024-02-20 08:00:00,91.98,102575,-1,1055.75
2024-02-20 08:30:00,92.33,102206,-1,1055.75
2024-02-20 09:00:00,92.1,102206,-1,1122.7
2024-02-20 09:30:00,91.86,102475,,
2024-02-20 10:00:00,91.96,102363,,
2024-02-20 10:30:00,91.88,102453,,
2024-02-20 11:00:00,91.72,102632,,
2024-02-20 11:30:00,91.83,102509,,
2024-02-20 12:00:00,91.77,102576,,
2024-02-20 12:30:00,91.67,102689,,
2024-02-20 13:00:00,91.98,102341,,
2024-02-20 13:30:00,91.92,102408,,
2024-02-20 14:00:00,91.71,102644,,
2024-02-20 21:00:00,92.09,102217,-1,1122.7
2024-02-20 21:30:00,92.04,102217,,
2024-02-20 22:00:00,92.22,102217,,
2024-02-20 22:30:00,92.38,102217,,
2024-02-20 23:00:00,92.37,102217,,
2024-02-20 23:30:00,92.59,102217,,
2024-02-21 00:00:00,92.7,102217,,
2024-02-21 00:30:00,92.52,102217,,
2024-02-21 01:00:00,92.54,102217,,
2024-02-21 01:30:00,91.92,102217,-1,1366.3
2024-02-21 02:00:00,92.17,101875,,
2024-02-21 02:30:00,92.23,101793,-1,1366.3
2024-02-21 03:00:00,92.2,101793,,
2024-02-21 03:30:00,92.06,101793,-1,1478.99
2024-02-21 04:00:00,92.12,101705,-1,1478.99
2024-02-21 04:30:00,92.27,101705,1,1560.39
2024-02-21 05:00:00,92.2,101595,1,1560.39
2024-02-21 05:30:00,92.13,101595,-1,1536.56
2024-02-21 06:00:00,91.94,101887,,
2024-02-21 06:30:00,91.87,101995,,
2024-02-21 07:00:00,91.98,101826,,
2024-02-21 07:30:00,92.25,101411,-1,1536.56
2024-02-21 08:00:00,91.25,101411,,
2024-02-21 08:30:00,91.9,101411,,
2024-02-21 09:00:00,91.78,101411,,
2024-02-21 09:30:00,92.25,101411,,
2024-02-21 10:00:00,92.64,101411,,
2024-02-21 10:30:00,93.35,101411,1,1431.08
2024-02-21 11:00:00,93.66,101855,,
2024-02-21 11:30:00,93.6,101769,,
2024-02-21 12:00:00,93.99,102327,,
2024-02-21 12:30:00,93.57,101726,,
2024-02-21 13:00:00,93.88,102170,,
2024-02-21 13:30:00,93.6,101769,,
2024-02-21 14:00:00,92.99,100896,,
2024-02-21 21:00:00,93,100910,,
2024-02-21 21:30:00,93.22,101225,,
2024-02-21 22:00:00,93.3,101340,,
2024-02-21 22:30:00,93.19,101182,,
2024-02-21 23:00:00,93.28,101311,,
2024-02-21 23:30:00,93.3,101340,,
