EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,Size,Profit,HoldingPeriod
2024-02-15 04:00:00,2024-02-15 05:30:00,1,95.12,94.93,1073.08,-203.885,3
2024-02-15 09:00:00,2024-02-15 11:00:00,1,94.99,94.86,1306.51,-169.847,4
2024-02-15 12:00:00,2024-02-15 23:00:00,1,95.19,95.07,1307.2,-156.864,9
2024-02-15 23:30:00,2024-02-16 01:00:00,1,95.09,95.13,1459.21,58.3686,3
2024-02-16 02:30:00,2024-02-16 04:30:00,1,95.29,95.23,1434.77,-86.0863,4
2024-02-16 05:00:00,2024-02-16 07:00:00,1,95.35,95.44,1429.71,128.674,4
2024-02-16 08:30:00,2024-02-16 09:30:00,1,95.89,95.14,1337.61,-1003.21,2
2024-02-16 11:00:00,2024-02-16 11:30:00,1,95.38,95.13,1520.87,-380.218,1
2024-02-16 12:00:00,2024-02-16 12:30:00,-1,94.54,93.79,1668.15,1251.12,1
2024-02-16 13:00:00,2024-02-19 21:30:00,-1,94.19,91.65,1204.81,3060.22,4
2024-02-19 22:00:00,2024-02-20 06:30:00,-1,92.41,92.28,592.482,77.0227,17
2024-02-20 08:00:00,2024-02-20 08:30:00,-1,91.98,92.33,1055.75,-369.512,1
2024-02-20 09:00:00,2024-02-20 21:00:00,-1,92.1,92.09,1122.7,11.227,11
2024-02-21 01:30:00,2024-02-21 02:30:00,-1,91.92,92.23,1366.3,-423.552,2
2024-02-21 03:30:00,2024-02-21 04:00:00,-1,92.06,92.12,1478.99,-88.7396,1
2024-02-21 04:30:00,2024-02-21 05:00:00,1,92.27,92.2,1560.39,-109.227,1
2024-02-21 05:30:00,2024-02-21 07:30:00,-1,92.13,92.25,1536.56,-184.387,4
2024-02-21 10:30:00,2024-02-22 05:30:00,1,93.35,93.6,1431.08,357.771,25
2024-02-22 06:00:00,2024-02-22 08:30:00,1,93.69,93.78,1646.28,148.165,5
2024-02-22 09:00:00,2024-02-22 23:00:00,1,93.99,94.36,1379.77,510.514,15
2024-02-22 23:30:00,2024-02-23 03:30:00,1,94.36,94.39,1326.13,39.784,7
2024-02-23 08:30:00,2024-02-26 06:30:00,-1,93.79,92.98,1667.61,1350.77,31
2024-02-26 07:00:00,2024-02-26 07:30:00,-1,92.78,92.97,1350.64,-256.622,1
2024-02-26 11:00:00,2024-02-26 14:00:00,1,94.09,94.89,1319.31,1055.45,6
2024-02-28 06:30:00,2024-02-28 09:00:00,1,102.03,101.85,1049.38,-188.889,5
2024-02-28 11:30:00,2024-02-28 12:30:00,1,101.9,101.09,569.518,-461.31,2
2024-02-29 01:00:00,2024-02-29 03:30:00,-1,99.24,100.19,1681.93,-1597.83,5
2024-02-29 04:00:00,2024-02-29 04:30:00,-1,99.75,100.2,1488.37,-669.765,1
2024-02-29 05:00:00,2024-02-29 05:30:00,-1,99.27,99.99,1358.15,-977.865,1
2024-02-29 07:30:00,2024-02-29 11:00:00,-1,99.54,99.42,1474.44,176.932,7
2024-02-29 13:00:00,2024-02-29 13:30:00,-1,99.16,99.79,885.972,-558.162,1
2024-02-29 21:00:00,2024-02-29 23:00:00,-1,98.51,99.25,808.825,-598.53,4
2024-03-01 02:30:00,2024-03-01 03:30:00,-1,98.97,99.47,1718.65,-859.324,2
2024-03-01 04:00:00,2024-03-01 06:30:00,1,99.68,99.36,1750.2,-560.064,5
2024-03-01 08:00:00,2024-03-01 09:30:00,-1,97.86,96.5,908.037,1234.93,3
2024-03-04 12:00:00,2024-03-05 02:00:00,-1,95.14,94.45,751.503,518.537,15
2024-03-05 03:30:00,2024-03-05 12:00:00,-1,94.57,94.09,1454.34,698.082,17
2024-03-05 22:30:00,2024-03-05 23:00:00,1,95.57,95.38,1525.64,-289.872,1
2024-03-06 01:00:00,2024-03-06 08:30:00,1,95.73,97.55,1750.18,3185.32,15
2024-03-06 21:30:00,2024-03-07 00:30:00,1,96.11,96.16,948.947,47.4474,6
2024-03-07 01:00:00,2024-03-07 05:00:00,1,96.11,96.47,1447.51,521.103,8
2024-03-07 05:30:00,2024-03-07 08:30:00,1,96.4,97.94,1382.61,2129.23,6
2024-03-08 06:30:00,2024-03-08 07:00:00,1,100.28,99.64,1081.93,-692.435,1
