EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,Size,Profit,HoldingPeriod
2024-02-14 12:00:00,2024-02-14 13:30:00,-1,583.75,586.25,210.675,-526.688,3
2024-02-15 00:00:00,2024-02-15 02:00:00,-1,584.75,586.25,323.586,-485.379,4
2024-02-15 02:30:00,2024-02-15 03:00:00,-1,583.5,585.25,146.578,-256.511,1
2024-02-15 04:00:00,2024-02-15 08:30:00,-1,583.25,572.25,161.138,1772.52,9
2024-02-16 10:30:00,2024-02-19 20:00:00,-1,563.5,563,194.655,97.3273,8
2024-02-20 00:30:00,2024-02-20 06:00:00,-1,562.75,562.25,433.562,216.781,11
2024-02-20 09:30:00,2024-02-21 02:30:00,1,575.25,580.25,204.699,1023.49,23
2024-02-21 20:00:00,2024-02-21 21:00:00,1,576.25,574.5,269.598,-471.796,2
2024-02-21 21:30:00,2024-02-22 01:00:00,-1,574.25,575.25,426.461,-426.461,7
2024-02-22 08:00:00,2024-02-22 10:30:00,1,581.75,575.75,261.847,-1571.08,4
2024-02-22 13:00:00,2024-02-22 21:30:00,-1,571.75,572.25,224.649,-112.325,6
2024-02-23 01:00:00,2024-02-23 03:00:00,-1,573.25,575,976.653,-1709.14,4
2024-02-23 05:30:00,2024-02-23 06:00:00,-1,573.75,574.5,468.532,-351.399,1
2024-02-23 07:00:00,2024-02-23 09:30:00,-1,572.5,566.5,468.42,2810.52,4
2024-02-25 20:30:00,2024-02-25 23:00:00,-1,567.5,567.25,212.733,53.1833,5
2024-02-26 05:00:00,2024-02-26 05:30:00,-1,565.5,561.25,498.271,2117.65,1
2024-02-26 08:30:00,2024-02-26 09:30:00,-1,561.5,564.75,306.395,-995.784,1
2024-02-26 13:00:00,2024-02-27 05:00:00,1,576,578.75,173.665,477.58,21
2024-02-27 07:30:00,2024-02-27 08:00:00,1,581,580.5,273.165,-136.583,1
2024-02-27 08:30:00,2024-02-27 10:30:00,1,582,590.5,261.901,2226.16,3
2024-02-27 11:30:00,2024-02-27 20:00:00,1,586.5,581.25,162.637,-853.843,6
2024-02-28 04:30:00,2024-02-28 11:00:00,-1,577.75,580.5,606.325,-1667.39,12
2024-02-28 11:30:00,2024-02-28 12:00:00,-1,576.5,578.5,225.769,-451.539,1
2024-02-29 01:00:00,2024-02-29 05:00:00,1,585.25,584,690.214,-862.767,8
2024-02-29 09:30:00,2024-02-29 10:00:00,-1,581.25,580.25,261.48,261.48,1
2024-02-29 10:30:00,2024-02-29 11:30:00,1,583.25,581.75,223.763,-335.645,2
2024-02-29 12:30:00,2024-02-29 23:00:00,1,582.75,584.5,246.613,431.572,10
2024-02-29 23:30:00,2024-03-01 02:00:00,1,584.75,584.5,714.862,-178.715,5
2024-03-01 04:30:00,2024-03-01 05:00:00,1,585.75,584.75,983.297,-983.297,1
2024-03-01 07:30:00,2024-03-01 09:30:00,-1,581.5,569.75,665.678,7821.72,3
2024-03-03 23:00:00,2024-03-04 00:30:00,-1,567.25,567.25,458.245,0,3
2024-03-04 01:30:00,2024-03-04 07:30:00,-1,565.75,566.5,903.024,-677.268,12
2024-03-04 13:30:00,2024-03-05 04:30:00,1,579.25,578.25,271.594,-271.594,19
2024-03-05 14:00:00,2024-03-06 07:00:00,-1,568.25,561,199.406,1445.7,23
2024-03-06 10:00:00,2024-03-06 22:00:00,-1,559.25,557.5,181.408,317.464,13
2024-03-07 05:00:00,2024-03-07 10:00:00,1,562.5,558.5,137.408,-549.633,9
2024-03-07 10:30:00,2024-03-07 11:00:00,1,573.75,563,43.6509,-469.247,1
2024-03-07 11:30:00,2024-03-07 12:00:00,1,577.25,558.25,34.7008,-659.316,1
2024-03-07 22:00:00,2024-03-07 22:30:00,1,571.5,558,60.0119,-810.161,1
2024-03-07 23:00:00,2024-03-08 00:00:00,1,572.25,560.25,62.6473,-751.767,2
2024-03-08 01:30:00,2024-03-08 02:30:00,1,574,562.75,37.5515,-422.454,2
2024-03-08 03:30:00,2024-03-08 04:00:00,1,572.75,562.25,50.7369,-532.738,1
2024-03-08 05:00:00,2024-03-08 06:30:00,1,564.5,564,81.7041,-40.8521,3
2024-03-08 11:30:00,2024-03-08 14:00:00,1,567.25,589.25,176.266,3877.85,5
