EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,Size,Profit,HoldingPeriod
2024-02-14 00:30:00,2024-02-14 01:30:00,-1,1.67,1.68,1275.88,-12.7588,2
2024-02-14 02:00:00,2024-02-14 07:00:00,-1,1.67,1.68,1320.31,-13.2031,10
2024-02-14 07:30:00,2024-02-14 19:00:00,-1,1.66,1.62,1327.47,53.0986,21
2024-02-14 19:30:00,2024-02-14 21:00:00,-1,1.61,1.62,1235.35,-12.3535,3
2024-02-14 23:00:00,2024-02-14 23:30:00,-1,1.61,1.62,1298.93,-12.9893,1
2024-02-15 09:30:00,2024-02-15 10:00:00,-1,1.63,1.62,1492.33,14.9233,1
2024-02-15 13:00:00,2024-02-15 20:30:00,-1,1.6,1.6,1223.57,0,13
2024-02-16 00:30:00,2024-02-16 05:00:00,-1,1.59,1.59,1292.34,0,9
2024-02-16 06:00:00,2024-02-16 06:30:00,-1,1.58,1.59,1188.25,-11.8825,1
2024-02-16 07:30:00,2024-02-16 08:30:00,-1,1.59,1.61,1395.88,-27.9177,2
2024-02-16 11:30:00,2024-02-16 12:30:00,1,1.61,1.6,1748.8,-17.488,2
2024-02-16 13:30:00,2024-02-16 16:30:00,1,1.61,1.6,1764.27,-17.6427,6
2024-02-19 01:00:00,2024-02-19 02:00:00,-1,1.56,1.57,1203.08,-12.0308,2
2024-02-19 02:30:00,2024-02-19 03:30:00,-1,1.56,1.56,1280.15,0,2
2024-02-19 04:00:00,2024-02-19 04:30:00,-1,1.55,1.56,1096.62,-10.9662,1
2024-02-19 07:00:00,2024-02-19 07:30:00,-1,1.55,1.56,1113.06,-11.1306,1
2024-02-19 08:00:00,2024-02-19 08:30:00,-1,1.55,1.57,1158.13,-23.1627,1
2024-02-19 10:30:00,2024-02-19 12:30:00,-1,1.55,1.56,1125.28,-11.2528,4
2024-02-19 13:00:00,2024-02-19 13:30:00,-1,1.55,1.56,1128.34,-11.2834,1
2024-02-19 18:00:00,2024-02-19 18:30:00,-1,1.56,1.56,1520.76,0,1
2024-02-19 19:30:00,2024-02-19 20:00:00,-1,1.56,1.57,1565.99,-15.6599,1
2024-02-19 20:30:00,2024-02-19 21:00:00,-1,1.56,1.56,1543.87,0,1
2024-02-19 21:30:00,2024-02-19 22:00:00,-1,1.56,1.56,1556.24,0,1
2024-02-20 00:30:00,2024-02-20 01:00:00,1,1.56,1.56,1617,0,1
2024-02-20 02:00:00,2024-02-20 09:30:00,1,1.56,1.58,1603.04,32.0609,15
