EntryTime,ExitTime,Direction,EntryPrice,ExitPrice,Size,Profit,HoldingPeriod
2024-02-20 05:30:00,2024-02-20 09:30:00,-1,22.31,22.09,1227.13,269.968,8
2024-02-20 11:30:00,2024-02-21 03:30:00,-1,22.29,21.97,1315.53,420.968,3
2024-02-21 05:30:00,2024-02-21 08:30:00,-1,22.13,22.14,1130.66,-11.3066,6
2024-02-22 04:30:00,2024-02-22 05:00:00,-1,22.1,22.2,1241.07,-124.107,1
2024-02-22 05:30:00,2024-02-22 08:00:00,-1,22.11,21.65,1405.66,646.604,5
2024-02-22 10:30:00,2024-02-22 11:00:00,-1,21.91,22.27,1131.5,-407.341,1
2024-02-23 05:00:00,2024-02-23 07:30:00,1,22.27,22.21,1772.61,-106.357,5
2024-02-23 08:00:00,2024-02-26 06:00:00,-1,22,22.06,1345.56,-80.7336,15
2024-02-26 12:00:00,2024-02-27 12:30:00,1,22.46,22.55,1234.22,111.08,20
2024-02-28 08:30:00,2024-02-28 12:30:00,1,22.58,22.64,1179.58,70.7746,8
2024-02-29 08:00:00,2024-03-01 06:30:00,-1,21.9,21.51,1076.62,419.881,16
2024-03-04 05:00:00,2024-03-04 05:30:00,-1,21.14,21.26,1067.07,-128.048,1
2024-03-04 07:00:00,2024-03-04 08:30:00,-1,21.13,21.33,1131.01,-226.202,3
2024-03-04 10:00:00,2024-03-05 10:30:00,-1,21.13,20.77,1243.07,447.507,20
2024-03-06 05:30:00,2024-03-06 06:00:00,-1,20.83,20.83,1454.4,0,1
2024-03-06 08:00:00,2024-03-07 04:00:00,1,21.35,21.26,1783.44,-160.509,11
2024-03-07 08:00:00,2024-03-07 09:30:00,1,21.33,21.24,1778.23,-160.041,3
2024-03-07 10:30:00,2024-03-07 11:00:00,1,21.31,21.16,1724.04,-258.606,1
2024-03-07 11:30:00,2024-03-08 04:00:00,1,21.37,21.12,1652.71,-413.177,4
2024-03-08 05:00:00,2024-03-08 07:00:00,1,21.22,21.2,1796.76,-35.9351,4
2024-03-08 09:00:00,2024-03-08 10:00:00,1,21.3,21.15,1617.41,-242.612,2
